timestamp,x,y,z
1509765510129403,-2.9375,1.375,3.875
1509765510152437,-1,1.125,2.8125
1509765510175292,0.9375,0.25,1.8125
1509765510190297,1.375,0,2.4375
1509765510212332,2.625,0.0625,2.5625
1509765510235331,1.4375,0.125,1.9375
1509765510250341,1.1875,0.1875,1.0625
1509765510273007,-0.0625,0.0625,2.25
1509765510294997,1.125,-1,2.9375
1509765510310011,-0.125,-1.25,1.625
1509765510333030,-0.375,-0.8125,2.375
1509765510355040,-1.125,-1.25,1.875
1509765510370060,0.0625,-1.8125,1.4375
1509765510393205,0.125,-1.375,2
1509765510415220,0.625,-0.4375,2.375
1509765510429258,0.875,-0.125,2.1875
1509765510453274,0.875,0.25,2.25
1509765510475518,0.5,0,3
1509765510490532,0.625,0,2.8125
1509765510512543,1.4375,-1.4375,1.125
1509765510535571,2.125,-0.1875,2.8125
1509765510549578,0.125,-0.875,0.8125
1509765510573100,3,-0.5625,0.4375
1509765510595127,2.9375,0.1875,-0.0625
1509765510610135,-0.3125,1.4375,1
1509765510633151,2.25,1.6875,0.9375
1509765510655167,4.8125,-0.5,-1.375
1509765510676897,2.1875,-0.5,-1.3125
1509765510692914,0.5625,0.75,0.5
1509765510714922,-0.5,0.0625,0.25
1509765510735943,-0.625,-0.1875,-0.3125
1509765510752960,-1.75,0,-0.1875
1509765510775079,-1.8125,-0.5,-0.125
1509765510796107,-2.25,-0.5,-0.5625
1509765510813107,-1.9375,-0.1875,-0.9375
1509765510835122,-1.3125,0,-1.0625
1509765510858139,-0.9375,-0.1875,-0.5625
1509765510873157,-1.1875,-0.1875,-0.5
1509765510895199,-1.5,-0.5,-0.6875
1509765510916232,-1.625,-0.4375,-0.6875
1509765510933224,-0.5,-0.3125,-0.375
1509765510955242,-0.625,-0.75,-0.5625
1509765510976769,-0.5,-0.25,-0.875
1509765510992778,-0.625,-0.4375,-0.5
1509765511014808,0.375,-0.625,-0.6875
1509765511035824,0.6875,-0.4375,-0.25
1509765511052835,2,-0.6875,-0.8125
1509765511075499,0.8125,-0.375,-0.8125
1509765511097504,-0.6875,-0.5,-0.1875
1509765511112515,-0.25,-0.375,-0.3125
1509765511135542,-1.0625,-0.875,0.25
