timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1509765198656477,-14,9,8,0,-1,-1,-1,-4
1509765198656477,0,2,-6,-5,-2,-4,-2,-1
1509765198657478,1,6,13,-1,-3,2,0,0
1509765198657478,-2,-11,-34,1,-3,1,2,0
1509765198658478,3,-1,10,15,0,-4,-4,-2
1509765198658478,-5,-3,-28,-38,-2,2,1,-1
1509765198662482,-1,-1,9,7,-2,-1,-1,-2
1509765198662482,-2,1,8,-8,-2,-1,-1,0
1509765198670486,3,-12,-36,0,-2,0,0,2
1509765198670486,-2,8,2,5,-3,-3,-1,-1
1509765198676511,0,-3,8,1,-1,-1,-1,1
1509765198676511,-1,-4,23,1,-1,-2,-2,-1
1509765198700511,-1,-8,-42,-14,-2,-4,-1,-2
1509765198700511,-1,1,16,7,2,0,-1,0
1509765198700511,-4,-6,-24,-10,-2,-4,-3,-1
1509765198700511,1,1,-8,3,0,1,-1,-2
1509765198714517,2,8,21,0,2,4,2,0
1509765198714517,2,3,14,2,-1,0,-2,0
1509765198715521,-9,-6,-10,0,0,-4,-3,-2
1509765198715521,-12,-2,8,1,-1,-1,1,-3
1509765198737682,9,-6,-12,-10,-6,-2,-2,-2
1509765198737682,-1,3,20,6,1,2,3,0
1509765198738702,1,-4,-4,-3,-3,-2,-4,-1
1509765198738702,2,-5,-29,-8,-2,-3,-2,0
1509765198751692,-1,6,15,4,1,-2,-1,1
1509765198751692,7,4,-6,5,-1,-1,0,0
1509765198752693,-7,-6,-14,-6,-2,0,0,-2
1509765198752693,3,2,-1,2,1,3,0,-1
1509765198782735,-1,0,18,-2,-3,2,1,-4
1509765198782735,-2,-12,-18,-3,-2,-13,-6,-1
1509765198783721,2,20,1,5,4,2,3,2
1509765198783721,-1,2,17,1,1,-5,-4,-2
1509765198797728,-1,5,2,-2,-1,-1,0,0
1509765198797728,14,4,17,0,-1,7,0,0
1509765198797728,-14,5,-5,1,2,-1,6,-1
1509765198797728,-1,-3,-6,2,-2,2,2,0
1509765198841214,-2,-3,9,0,-1,-1,-5,0
1509765198841214,0,21,-14,-7,-4,-1,-4,-1
1509765198851221,-3,-13,-1,0,0,-2,-3,-4
1509765198851221,10,-15,-2,2,1,3,3,-1
1509765198853222,-8,13,0,-2,0,-3,0,-4
1509765198853222,-4,-3,2,0,-3,-3,-1,0
1509765198854213,19,-11,-10,-1,0,-2,-1,0
1509765198854213,-22,4,14,-1,-1,1,-4,-4
1509765198866220,-4,-17,-5,-4,-3,-3,0,-1
1509765198866220,4,9,-1,-1,0,-1,-8,0
1509765198867221,14,-10,8,-2,-3,1,2,0
1509765198867221,-22,-9,-6,-3,-2,-1,-2,-3
1509765198871224,-1,-2,-5,-2,-2,-2,-4,-2
1509765198871224,-30,6,0,-2,-4,-4,-1,-4
1509765198879230,7,4,11,4,4,3,-2,1
1509765198879230,7,-10,-13,-3,0,5,-1,2
1509765198894251,0,-3,-1,-1,0,-3,-2,-2
1509765198894251,2,-8,-3,-4,-5,-2,-2,-3
1509765198895252,-5,4,4,-2,-2,-5,-6,-1
1509765198895252,1,2,-3,1,0,3,3,1
1509765198917764,4,-2,4,2,2,6,9,2
1509765198917764,-2,-9,-3,-1,-3,-5,-7,-2
1509765198918264,-5,-4,-2,-5,-7,-6,-9,-6
1509765198918264,8,-2,-3,-3,-3,-2,-6,0
1509765198931277,4,6,4,-2,-2,-6,2,0
1509765198931277,-1,4,-5,1,0,5,5,0
1509765198955309,-9,3,-1,-2,-2,1,3,1
1509765198955309,3,-4,-4,-4,-1,-4,4,-1
1509765198957306,-1,6,0,-4,-5,-5,-10,0
1509765198957306,-3,0,-7,0,2,33,29,-1
1509765198958307,-5,-14,-4,-4,-7,-32,-28,-7
1509765198958307,7,-5,3,1,-3,-22,-17,0
1509765198977320,-10,9,7,6,-1,-6,10,0
1509765198977320,4,0,3,0,3,2,-8,1
1509765198978309,3,-5,-13,-6,7,21,18,1
1509765198978309,2,2,11,5,6,63,50,7
1509765198991329,-4,1,-8,-6,-5,-58,-63,-7
1509765198991329,1,1,12,4,-13,-42,-20,-6
1509765198992319,-1,-2,4,-5,-4,-21,9,0
1509765198992319,-2,-1,-8,4,4,-7,-16,-3
1509765199030363,-8,-5,26,3,-1,35,25,-3
1509765199030363,17,10,-10,-1,13,11,3,4
1509765199030863,-6,-10,-9,1,-4,0,-2,0
1509765199030863,-1,-1,2,-2,-11,-15,-4,-3
1509765199037394,15,-15,-20,-12,3,13,11,3
1509765199037394,-7,-2,-4,-2,-3,-5,-6,-1
1509765199038374,-4,-3,5,1,3,12,4,0
1509765199038374,3,-10,2,11,0,-4,-6,-2
