timestamp,x,y,z,w
1509765498745128,-0.597229,-0.730896,-0.286682,-0.16449
1509765498765989,-0.597229,-0.730896,-0.286682,-0.16449
1509765498784001,-0.597229,-0.730896,-0.286682,-0.16449
1509765498805998,-0.597168,-0.730896,-0.286682,-0.164551
1509765498826015,-0.597168,-0.730896,-0.286682,-0.164551
1509765498844035,-0.597168,-0.730896,-0.286743,-0.164551
1509765498866052,-0.597168,-0.730896,-0.286743,-0.164551
1509765498886068,-0.597168,-0.730896,-0.286682,-0.164551
1509765498904080,-0.597168,-0.730896,-0.286743,-0.164551
1509765498926107,-0.597168,-0.730896,-0.286743,-0.164551
1509765498946124,-0.597168,-0.730896,-0.286743,-0.164551
1509765498963762,-0.597168,-0.730896,-0.286743,-0.164551
1509765498985772,-0.597168,-0.730896,-0.286743,-0.164551
1509765499005787,-0.597168,-0.730896,-0.286743,-0.164551
1509765499023800,-0.597168,-0.730896,-0.286743,-0.164551
1509765499046344,-0.597168,-0.730896,-0.286743,-0.164551
1509765499066028,-0.597168,-0.730896,-0.286743,-0.164612
1509765499084021,-0.597168,-0.730896,-0.286743,-0.164551
1509765499105032,-0.597168,-0.730896,-0.286682,-0.164612
1509765499126070,-0.597168,-0.730896,-0.286682,-0.164612
1509765499143062,-0.597168,-0.730896,-0.286682,-0.164612
1509765499165228,-0.597168,-0.730896,-0.286743,-0.164612
1509765499186263,-0.597168,-0.730896,-0.286743,-0.164612
1509765499203250,-0.597168,-0.730896,-0.286743,-0.164612
1509765499225264,-0.597168,-0.730896,-0.286743,-0.164612
1509765499246798,-0.597168,-0.730896,-0.286682,-0.164612
1509765499262822,-0.597168,-0.730896,-0.286682,-0.164612
1509765499285839,-0.597168,-0.730896,-0.286743,-0.164612
1509765499306853,-0.597168,-0.730896,-0.286743,-0.164612
1509765499322871,-0.597168,-0.730896,-0.286743,-0.164612
1509765499345417,-0.597168,-0.730896,-0.286743,-0.164612
1509765499365984,-0.597168,-0.730896,-0.286743,-0.164673
1509765499382971,-0.597168,-0.730896,-0.286743,-0.164673
1509765499405017,-0.597168,-0.730896,-0.286743,-0.164673
1509765499426030,-0.597168,-0.730896,-0.286743,-0.164673
1509765499443014,-0.597168,-0.730896,-0.286743,-0.164673
1509765499465044,-0.597168,-0.730896,-0.286743,-0.164673
1509765499486058,-0.597107,-0.730896,-0.286743,-0.164673
1509765499503080,-0.597107,-0.730896,-0.286743,-0.164673
1509765499525089,-0.597107,-0.730896,-0.286743,-0.164734
1509765499546633,-0.597107,-0.730896,-0.286743,-0.164734
1509765499562708,-0.597107,-0.730896,-0.286743,-0.164734
1509765499585751,-0.597107,-0.730896,-0.286743,-0.164734
1509765499606784,-0.597107,-0.730896,-0.286743,-0.164734
1509765499622780,-0.597107,-0.730896,-0.286743,-0.164734
1509765499645317,-0.597107,-0.730896,-0.286743,-0.164734
1509765499665997,-0.597107,-0.730896,-0.286743,-0.164734
1509765499683004,-0.597107,-0.730896,-0.286743,-0.164734
1509765499705015,-0.597107,-0.730896,-0.286804,-0.164734
1509765499728036,-0.597107,-0.730896,-0.286804,-0.164734
1509765499743042,-0.597107,-0.730896,-0.286804,-0.164734
1509765499765158,-0.597107,-0.730835,-0.286804,-0.164734
1509765499788174,-0.597107,-0.730835,-0.286865,-0.164795
1509765499803188,-0.597107,-0.730835,-0.286865,-0.164795
1509765499825200,-0.597107,-0.730835,-0.286804,-0.164795
1509765499848230,-0.597107,-0.730835,-0.286865,-0.164795
1509765499862442,-0.597107,-0.730835,-0.286865,-0.164795
1509765499885429,-0.597107,-0.730835,-0.286865,-0.164795
1509765499907447,-0.597107,-0.730835,-0.286865,-0.164795
1509765499922475,-0.597107,-0.730835,-0.286865,-0.164795
1509765499945490,-0.597107,-0.730835,-0.286865,-0.164795
1509765499967547,-0.597046,-0.730835,-0.286865,-0.164856
1509765499982560,-0.597046,-0.730835,-0.286926,-0.164856
1509765500005582,-0.597046,-0.730835,-0.286926,-0.164856
1509765500027591,-0.597046,-0.730835,-0.286926,-0.164856
1509765500042606,-0.597046,-0.730835,-0.286926,-0.164856
1509765500065831,-0.597046,-0.730835,-0.286987,-0.164856
1509765500087847,-0.597046,-0.730835,-0.286987,-0.164856
1509765500101857,-0.597046,-0.730835,-0.286987,-0.164917
1509765500125875,-0.597046,-0.730835,-0.286987,-0.164917
1509765500147896,-0.597046,-0.730835,-0.286987,-0.164917
1509765500162409,-0.597046,-0.730835,-0.286987,-0.164917
1509765500185426,-0.597046,-0.730774,-0.287048,-0.164917
1509765500207440,-0.597046,-0.730774,-0.287048,-0.164917
1509765500228494,-0.597046,-0.730774,-0.287048,-0.164917
1509765500245480,-0.597046,-0.730774,-0.287048,-0.164978
1509765500267416,-0.597046,-0.730774,-0.287048,-0.164978
1509765500288429,-0.597046,-0.730774,-0.287048,-0.164978
1509765500306441,-0.597046,-0.730774,-0.287048,-0.164978
1509765500327457,-0.597046,-0.730774,-0.287048,-0.164917
1509765500348994,-0.597046,-0.730774,-0.287048,-0.164917
1509765500365087,-0.597046,-0.730774,-0.287109,-0.164978
1509765500388101,-0.596985,-0.730774,-0.287109,-0.164978
1509765500416115,-0.596985,-0.730774,-0.287109,-0.164978
1509765500425122,-0.596985,-0.730774,-0.28717,-0.165039
1509765500448170,-0.596924,-0.730652,-0.287354,-0.165222
1509765500468688,-0.596924,-0.730652,-0.287354,-0.165222
1509765500485705,-0.596924,-0.730652,-0.287354,-0.165222
1509765500508717,-0.596924,-0.730652,-0.287354,-0.165283
1509765500528732,-0.596802,-0.730591,-0.287598,-0.165588
1509765500545753,-0.59668,-0.730591,-0.287842,-0.16571
1509765500567397,-0.59668,-0.730591,-0.287903,-0.165771
1509765500588425,-0.596497,-0.730591,-0.288086,-0.165955
1509765500605422,-0.596313,-0.730469,-0.288513,-0.166321
1509765500627433,-0.59613,-0.730408,-0.28894,-0.166748
1509765500650453,-0.595886,-0.730286,-0.289429,-0.167175
1509765500664965,-0.595581,-0.730347,-0.289734,-0.167419
1509765500687982,-0.595337,-0.730347,-0.2901,-0.167786
1509765500709997,-0.595032,-0.730225,-0.29071,-0.168274
1509765500725007,-0.594727,-0.730103,-0.291321,-0.168823
1509765500748028,-0.59436,-0.730042,-0.292053,-0.169312
1509765500770615,-0.593994,-0.72998,-0.292664,-0.169678
1509765500785628,-0.593689,-0.729858,-0.293274,-0.170044
